zip,city,county,population
19120,Philadelphia,Philadelphia,74270
19124,Philadelphia,Philadelphia,71858
19111,Philadelphia,Philadelphia,67159
15240,Pittsburgh,Allegheny,0
15261,Pittsburgh,Allegheny,0
15275,Pittsburgh,Allegheny,0
17603,Lancaster,Lancaster,65022
19143,Philadelphia,Philadelphia,62927
19134,Philadelphia,Philadelphia,61615
19149,Philadelphia,Philadelphia,58811
19446,Lansdale,Montgomery,58570
15601,Greensburg,Westmoreland,56328
19320,Coatesville,Chester,55219
19020,Bensalem,Bucks,54850
19382,West Chester,Chester,54748
17601,Lancaster,Lancaster,53023
19140,Philadelphia,Philadelphia,52608
19067,Morrisville,Bucks,52519
19104,Philadelphia,Philadelphia,52480
17331,Hanover,York,52219
19148,Philadelphia,Philadelphia,51754
18102,Allentown,Lehigh,50702
17602,Lancaster,Lancaster,50660
19380,West Chester,Chester,50501
15301,Washington,Washington,49238
19335,Downingtown,Chester,48272
19464,Pottstown,Montgomery,47040
18103,Allentown,Lehigh,46884
19403,Norristown,Montgomery,46794
16801,State College,Centre,45527
19139,Philadelphia,Philadelphia,45198
17543,Lititz,Lancaster,44973
19144,Philadelphia,Philadelphia,44968
19131,Philadelphia,Philadelphia,44649
19145,Philadelphia,Philadelphia,44508
15642,Irwin,Westmoreland,44333
18104,Allentown,Lehigh,44217
17701,Williamsport,Lycoming,43068
19082,Upper Darby,Delaware,42670
18042,Easton,Northampton,42387
19460,Phoenixville,Chester,41615
15108,Coraopolis,Allegheny,41447
19401,Norristown,Montgomery,41287
15237,Pittsburgh,Allegheny,41264
19426,Collegeville,Montgomery,40870
19146,Philadelphia,Philadelphia,40635
18974,Warminster,Bucks,40405
18702,Wilkes Barre,Luzerne,40105
15317,Canonsburg,Washington,39823
18017,Bethlehem,Northampton,39705
17403,York,York,39217
17050,Mechanicsburg,Cumberland,38993
19147,Philadelphia,Philadelphia,38809
16001,Butler,Butler,38363
17402,York,York,38026
17011,Camp Hill,Cumberland,37718
19128,Philadelphia,Philadelphia,37677
15068,New Kensington,Westmoreland,37442
19152,Philadelphia,Philadelphia,37436
17404,York,York,37280
17055,Mechanicsburg,Cumberland,37130
17042,Lebanon,Lebanon,36949
17013,Carlisle,Cumberland,36627
19083,Havertown,Delaware,36110
19135,Philadelphia,Philadelphia,36102
17112,Harrisburg,Dauphin,36080
19606,Reading,Berks,35750
19115,Philadelphia,Philadelphia,35504
19063,Media,Delaware,35439
18951,Quakertown,Bucks,35331
18966,Southampton,Bucks,35147
19013,Chester,Delaware,35113
19136,Philadelphia,Philadelphia,34962
19154,Philadelphia,Philadelphia,34946
17522,Ephrata,Lancaster,34400
15235,Pittsburgh,Allegheny,34339
19141,Philadelphia,Philadelphia,34115
19116,Philadelphia,Philadelphia,33976
19138,Philadelphia,Philadelphia,33711
15701,Indiana,Indiana,33460
19601,Reading,Berks,33382
17111,Harrisburg,Dauphin,33261
19047,Langhorne,Bucks,33199
18015,Bethlehem,Northampton,32936
19087,Wayne,Delaware,32592
19151,Philadelphia,Philadelphia,32306
16601,Altoona,Blair,31825
19121,Philadelphia,Philadelphia,31664
19038,Glenside,Montgomery,31615
17046,Lebanon,Lebanon,31587
19114,Philadelphia,Philadelphia,31448
